Title,Year,Make,Model,Date of Sale, Sold Price,Type of Sale,Source
1961 Porsche 356B Roadster,1961,Porsche,Porsche 356,2/8/24,"$116,000",,https://bringatrailer.com/listing/1961-porsche-356b-roadster-4/
48k-Mile 2007 Mercedes-Benz CLS550,2007,,,2/8/24,"$11,500",No Reserve,https://bringatrailer.com/listing/2007-mercedes-benz-cls550-3-2/
1988 Honda NX650,1988,,,2/8/24,"$7,500",No Reserve,https://bringatrailer.com/listing/1988-honda-nx650-3/
1989 Chevrolet Camaro IROC-Z Coupe,1989,Chevrolet,Chevrolet Camaro 3rd Generation 1982-1992,2/8/24,"$20,000",,https://bringatrailer.com/listing/1989-chevrolet-camaro-iroc-z-coupe-9/
33k-Mile 2005 Mercedes-Benz E500 4MATIC Sedan,2005,,,2/8/24,"$12,000",No Reserve,https://bringatrailer.com/listing/2005-mercedes-benz-e500-sedan-4/
2003 Ford F-150 SVT Lightning,2003,Ford,Ford F-150 SVT Lightning,2/8/24,"$35,500",,https://bringatrailer.com/listing/2003-ford-f-150-svt-lightning-11/
1962 Jaguar Mk II 3.8L 4-Speed,1962,Jaguar,Jaguar Mk II,2/8/24,"$58,000",,https://bringatrailer.com/listing/1962-jaguar-mk-ii-35/
1993 Toyota Land Cruiser HDJ81 VX Limited Turbodiesel,1993,Toyota,Toyota Land Cruiser 80-Series,2/8/24,"$25,000",No Reserve,https://bringatrailer.com/listing/1993-toyota-land-cruiser-hdj81-8/
1970 Chevrolet K10 Short Bed 4×4 4-Speed Pickup,1970,Chevrolet,Chevrolet C/K (1967-1972),2/8/24,"$43,000",,https://bringatrailer.com/listing/1970-chevrolet-k10-pickup-4/
Manco C1 Corvette-Style Go-Kart,,Chevrolet,Chevrolet Corvette C1,2/8/24,"$3,500",No Reserve,https://bringatrailer.com/listing/1987-chevrolet-corvette-convertible-26/
